00:08:38.7572641 [Info] User sets amplitude to 21.2.
00:08:38.7733371 [Info] User sets amplitude to 20.9.
00:08:38.7902706 [Info] User sets amplitude to 20.6.
00:08:38.8072540 [Info] User sets amplitude to 20.5.
00:08:38.8228934 [Info] User sets amplitude to 20.4.
00:08:38.8403191 [Info] User sets amplitude to 20.3.
00:08:38.8576238 [Info] User sets amplitude to 20.2.
00:08:38.8899880 [Info] User sets amplitude to 20.
00:08:38.9073240 [Info] User sets amplitude to 19.9.
00:08:38.9553820 [Info] User sets amplitude to 19.8.
00:08:39.0062058 [Info] User sets amplitude to 19.7.
00:08:39.1746425 [Info] User sets amplitude to 19.8.
00:08:39.1913808 [Info] User sets amplitude to 20.2.
00:08:39.2063033 [Info] User sets amplitude to 20.5.
00:08:39.2228412 [Info] User sets amplitude to 20.9.
00:08:39.2401879 [Info] User sets amplitude to 21.1.
00:08:39.2559480 [Info] User sets amplitude to 21.2.
00:08:39.2746235 [Info] User sets amplitude to 21.7.
00:08:39.2899957 [Info] User sets amplitude to 22.2.
00:08:39.3065074 [Info] User sets amplitude to 22.6.
00:08:39.3239748 [Info] User sets amplitude to 23.3.
00:08:39.3407377 [Info] User sets amplitude to 23.5.
00:08:39.3684879 [Info] User sets amplitude to 23.7.
00:08:39.3727737 [Info] User sets amplitude to 23.8.
00:08:39.4242182 [Info] User sets amplitude to 23.9.
00:08:39.4392661 [Info] User sets amplitude to 24.
00:08:39.4731608 [Info] User sets amplitude to 24.2.
00:08:39.5065315 [Info] User sets amplitude to 24.4.
00:08:39.5244738 [Info] User sets amplitude to 24.5.
00:08:39.5402848 [Info] User sets amplitude to 24.6.
00:08:39.5584917 [Info] User sets amplitude to 24.9.
00:08:39.5744463 [Info] User sets amplitude to 25.
00:08:39.5889838 [Info] User sets amplitude to 25.2.
00:08:39.6071497 [Info] User sets amplitude to 25.3.
00:08:39.6240124 [Info] User sets amplitude to 25.9.
00:08:39.6398164 [Info] User sets amplitude to 26.4.
00:08:39.6577746 [Info] User sets amplitude to 27.1.
00:08:39.6742799 [Info] User sets amplitude to 27.8.
00:08:39.6926021 [Info] User sets amplitude to 27.9.
00:08:39.7074291 [Info] User sets amplitude to 28.7.
00:08:39.7242816 [Info] User sets amplitude to 28.8.
00:08:39.7413850 [Info] User sets amplitude to 28.9.
00:08:39.7574323 [Info] User sets amplitude to 29.1.
00:08:39.7738006 [Info] User sets amplitude to 29.2.
00:08:39.8390370 [Info] User sets amplitude to 29.4.
00:08:39.8905195 [Info] User sets amplitude to 29.5.
00:08:39.9229457 [Info] User sets amplitude to 29.6.
00:08:39.9397316 [Info] User sets amplitude to 29.7.
00:08:39.9565229 [Info] User sets amplitude to 29.8.
00:08:40.0056256 [Info] User sets amplitude to 30.
00:08:40.0560638 [Info] User sets amplitude to 30.1.
00:08:40.0740253 [Info] User sets amplitude to 30.2.
00:08:40.0907217 [Info] User sets amplitude to 30.3.
00:08:40.1227586 [Info] User sets amplitude to 30.4.
00:08:40.1405387 [Info] User sets amplitude to 30.7.
00:08:40.1729368 [Info] User sets amplitude to 30.8.
00:08:40.1903994 [Info] User sets amplitude to 30.9.
00:08:40.2063356 [Info] User sets amplitude to 31.1.
00:08:40.2383667 [Info] User sets amplitude to 31.3.
00:08:40.2734681 [Info] User sets amplitude to 31.4.
00:08:40.3084521 [Info] User sets amplitude to 31.5.
00:08:41.2713448 [Info] User sets amplitude to 31.4.
00:08:41.3398823 [Info] User sets amplitude to 31.3.
00:08:41.3737387 [Info] User sets amplitude to 31.1.
00:08:41.4737524 [Info] User sets amplitude to 31.
00:08:41.5056740 [Info] User sets amplitude to 30.9.
00:08:41.5248880 [Info] User sets amplitude to 30.8.
00:08:41.5895830 [Info] User sets amplitude to 30.7.
00:08:41.6070565 [Info] User sets amplitude to 30.5.
00:08:41.6427020 [Info] User sets amplitude to 30.4.
00:08:41.6567246 [Info] User sets amplitude to 30.3.
00:08:41.6896553 [Info] User sets amplitude to 30.2.
00:08:42.1407116 [Info] User sets amplitude to 30.4.
00:08:42.1894168 [Info] User sets amplitude to 30.5.
00:08:42.2064091 [Info] User sets amplitude to 30.7.
00:08:43.1402778 [Info] User sets amplitude to 30.5.
00:08:43.4899391 [Info] User sets amplitude to 30.4.
00:08:46.4054776 [Info] User 0 sets frequency to 0.5.
00:08:49.0365111 [Info] User 0 sets frequency to 0.7.
00:08:49.3655629 [Info] User 0 sets frequency to 0.6.
00:08:51.1294629 [Info] User sets amplitude to 30.
00:09:09.6347527 [Info] User sets phase shift to 6.2657323.
00:09:09.8793319 [Info] User sets phase shift to 6.195919.
00:09:09.8956824 [Info] User sets phase shift to 6.1086526.
00:09:09.9132501 [Info] User sets phase shift to 6.0388393.
00:09:09.9292949 [Info] User sets phase shift to 5.951573.
00:09:09.9452428 [Info] User sets phase shift to 5.8817596.
00:09:09.9633488 [Info] User sets phase shift to 5.8293996.
00:09:09.9808737 [Info] User sets phase shift to 5.77704.
00:09:09.9953823 [Info] User sets phase shift to 5.759587.
00:09:10.0119253 [Info] User sets phase shift to 5.72468.
00:09:10.0287560 [Info] User sets phase shift to 5.6723204.
00:09:10.0454246 [Info] User sets phase shift to 5.6374135.
00:09:10.0625507 [Info] User sets phase shift to 5.585054.
00:09:10.0950914 [Info] User sets phase shift to 5.5676007.
00:09:10.1121884 [Info] User sets phase shift to 5.532694.
00:09:10.1465789 [Info] User sets phase shift to 5.5152407.
00:09:10.2289047 [Info] User sets phase shift to 5.4977875.
00:09:10.2784142 [Info] User sets phase shift to 5.4803343.
00:09:10.2938851 [Info] User sets phase shift to 5.4454274.
00:09:10.3127926 [Info] User sets phase shift to 5.4105206.
00:09:10.3288273 [Info] User sets phase shift to 5.393068.
00:09:10.3465482 [Info] User sets phase shift to 5.358161.
00:09:10.3633209 [Info] User sets phase shift to 5.305801.
00:09:10.3953884 [Info] User sets phase shift to 5.2708945.
00:09:10.4122364 [Info] User sets phase shift to 5.2185345.
00:09:10.4274486 [Info] User sets phase shift to 5.183628.
00:09:10.4473444 [Info] User sets phase shift to 5.148721.
00:09:10.4629410 [Info] User sets phase shift to 5.113815.
00:09:10.8446658 [Info] User sets phase shift to 4.991642.
00:09:11.1597297 [Info] User sets phase shift to 4.974189.
00:09:11.2140798 [Info] User sets phase shift to 4.956735.
00:09:11.2286278 [Info] User sets phase shift to 4.939282.
00:09:11.2440253 [Info] User sets phase shift to 4.9218287.
00:09:11.2770498 [Info] User sets phase shift to 4.904375.
00:09:11.2965810 [Info] User sets phase shift to 4.8869224.
00:09:11.3284331 [Info] User sets phase shift to 4.8694687.
00:09:11.3457742 [Info] User sets phase shift to 4.8520155.
00:09:11.3622219 [Info] User sets phase shift to 4.8345623.
00:09:11.4411892 [Info] User sets phase shift to 4.8171086.
00:09:11.4788814 [Info] User sets phase shift to 4.7996554.
00:09:11.4980509 [Info] User sets phase shift to 4.7822022.
00:09:11.5809046 [Info] User sets phase shift to 4.764749.
00:09:11.6794027 [Info] User sets phase shift to 4.747296.
00:09:19.3453221 [Info] User sets phase shift to 4.6251225.
00:09:19.9307800 [Info] User sets phase shift to 3.281219.
00:09:20.1297611 [Info] User sets phase shift to 3.4208455.
00:09:20.1454171 [Info] User sets phase shift to 3.6826448.
00:09:20.1635733 [Info] User sets phase shift to 3.7699115.
00:09:20.1778366 [Info] User sets phase shift to 3.8222713.
00:09:20.1957437 [Info] User sets phase shift to 3.8397243.
00:09:20.2118210 [Info] User sets phase shift to 3.8571775.
00:09:20.3447581 [Info] User sets phase shift to 3.8397243.
00:09:20.3632914 [Info] User sets phase shift to 3.8048177.
00:09:20.3798139 [Info] User sets phase shift to 3.7524579.
00:09:20.3956572 [Info] User sets phase shift to 3.4382985.
00:09:20.4128096 [Info] User sets phase shift to 3.159046.
00:09:20.4281168 [Info] User sets phase shift to 3.0543263.
00:09:20.4467767 [Info] User sets phase shift to 2.9496067.
00:09:20.4620890 [Info] User sets phase shift to 2.9146998.
00:09:20.4777742 [Info] User sets phase shift to 2.8972466.
00:09:20.5122529 [Info] User sets phase shift to 2.86234.
00:09:20.6783119 [Info] User sets phase shift to 2.8797934.
00:09:20.6943697 [Info] User sets phase shift to 2.8972466.
00:09:20.7287894 [Info] User sets phase shift to 2.9146998.
00:09:20.7470756 [Info] User sets phase shift to 2.9496067.
00:09:20.7626368 [Info] User sets phase shift to 2.984513.
00:09:20.8120644 [Info] User sets phase shift to 3.0019665.
00:09:20.9150221 [Info] User sets phase shift to 3.0368729.
00:09:20.9458426 [Info] User sets phase shift to 3.0717795.
00:09:28.6634492 [Info] User sets phase shift to 3.1241393.
00:09:28.6779519 [Info] User sets phase shift to 3.577925.
00:09:28.6959293 [Info] User sets phase shift to 4.328417.
00:09:28.7149238 [Info] User sets phase shift to 4.590216.
00:09:28.7292499 [Info] User sets phase shift to 4.8171086.
00:09:28.7440509 [Info] User sets phase shift to 5.0440016.
00:09:28.7618390 [Info] User sets phase shift to 5.131268.
00:09:28.7807403 [Info] User sets phase shift to 5.148721.
00:09:28.8112072 [Info] User sets phase shift to 5.166175.
00:09:28.9448383 [Info] User sets phase shift to 5.183628.
00:09:28.9619051 [Info] User sets phase shift to 5.2010813.
00:09:28.9799642 [Info] User sets phase shift to 5.2534413.
00:09:28.9952861 [Info] User sets phase shift to 5.2708945.
00:09:29.0279249 [Info] User sets phase shift to 5.340708.
00:09:29.0445837 [Info] User sets phase shift to 5.4628806.
00:09:29.0619932 [Info] User sets phase shift to 5.602507.
00:09:29.0807096 [Info] User sets phase shift to 5.759587.
00:09:29.0960825 [Info] User sets phase shift to 5.8293996.
00:09:29.1137873 [Info] User sets phase shift to 5.8643064.
00:09:29.1296891 [Info] User sets phase shift to 5.8817596.
00:09:29.1436679 [Info] User sets phase shift to 5.8992133.
00:09:29.1627808 [Info] User sets phase shift to 5.9166665.
00:09:29.1944532 [Info] User sets phase shift to 5.934119.
00:09:29.2115750 [Info] User sets phase shift to 5.951573.
00:09:29.2295591 [Info] User sets phase shift to 5.9864798.
00:09:29.2437952 [Info] User sets phase shift to 6.003933.
00:09:29.2623053 [Info] User sets phase shift to 6.021386.
00:09:29.2944542 [Info] User sets phase shift to 6.0562925.
00:09:29.3117558 [Info] User sets phase shift to 6.0737457.
