00:00:02.2196950 [Info] OscillatorState { Frequency = 3E-44, Amplitude = 1.4E-44, Offset = 90.00016, PhaseShift = 1.4E-44, Phase = 42293.64 }
00:00:02.3398266 [Info] OscillatorState { Frequency = 3E-44, Amplitude = 1.4E-44, Offset = 90.00016, PhaseShift = 1.4E-44, Phase = 42293.64 }
00:00:02.4592001 [Info] OscillatorState { Frequency = 3E-44, Amplitude = 1.4E-44, Offset = 90.00016, PhaseShift = 1.4E-44, Phase = 42293.64 }
00:00:02.5796082 [Info] OscillatorState { Frequency = 3E-44, Amplitude = 1.4E-44, Offset = 90.00016, PhaseShift = 1.4E-44, Phase = 42293.64 }
00:00:02.7012158 [Info] OscillatorState { Frequency = 3E-44, Amplitude = 1.4E-44, Offset = 90.00016, PhaseShift = 1.4E-44, Phase = 42293.64 }
00:00:02.8196293 [Info] OscillatorState { Frequency = 3E-44, Amplitude = 1.4E-44, Offset = 90.00016, PhaseShift = 1.4E-44, Phase = 42293.64 }
00:00:02.9410630 [Info] OscillatorState { Frequency = 3E-44, Amplitude = 1.4E-44, Offset = 90.00016, PhaseShift = 1.4E-44, Phase = 42293.64 }
00:00:03.0650604 [Info] OscillatorState { Frequency = 3E-44, Amplitude = 1.4E-44, Offset = 90.00016, PhaseShift = 1.4E-44, Phase = 42293.64 }
00:00:03.1901196 [Info] OscillatorState { Frequency = 3E-44, Amplitude = 1.4E-44, Offset = 90.00016, PhaseShift = 1.4E-44, Phase = 42293.64 }
00:00:03.3105518 [Info] OscillatorState { Frequency = 3E-44, Amplitude = 1.4E-44, Offset = 90.00016, PhaseShift = 1.4E-44, Phase = 42293.64 }
00:00:03.4312396 [Info] OscillatorState { Frequency = 3E-44, Amplitude = 1.4E-44, Offset = 90.00016, PhaseShift = 1.4E-44, Phase = 42293.64 }
00:00:03.5507958 [Info] OscillatorState { Frequency = 3E-44, Amplitude = 1.4E-44, Offset = 90.00016, PhaseShift = 1.4E-44, Phase = 42293.64 }
00:00:03.6707475 [Info] OscillatorState { Frequency = 3E-44, Amplitude = 1.4E-44, Offset = 90.00016, PhaseShift = 1.4E-44, Phase = 42293.64 }
00:00:03.7906594 [Info] OscillatorState { Frequency = 3E-44, Amplitude = 1.4E-44, Offset = 90.00016, PhaseShift = 1.4E-44, Phase = 42293.64 }
00:00:03.9107203 [Info] OscillatorState { Frequency = 3E-44, Amplitude = 1.4E-44, Offset = 90.00016, PhaseShift = 1.4E-44, Phase = 42293.64 }
00:00:04.0302237 [Info] OscillatorState { Frequency = 3E-44, Amplitude = 1.4E-44, Offset = 90.00016, PhaseShift = 1.4E-44, Phase = 42293.64 }
00:00:04.1505956 [Info] OscillatorState { Frequency = 3E-44, Amplitude = 1.4E-44, Offset = 90.00016, PhaseShift = 1.4E-44, Phase = 42293.64 }
00:00:04.2710865 [Info] OscillatorState { Frequency = 3E-44, Amplitude = 1.4E-44, Offset = 90.00016, PhaseShift = 1.4E-44, Phase = 42293.64 }
00:00:04.3905378 [Info] OscillatorState { Frequency = 3E-44, Amplitude = 1.4E-44, Offset = 90.00016, PhaseShift = 1.4E-44, Phase = 42293.64 }
00:00:04.5111046 [Info] OscillatorState { Frequency = 3E-44, Amplitude = 1.4E-44, Offset = 90.00016, PhaseShift = 1.4E-44, Phase = 42293.64 }
00:00:04.6303850 [Info] OscillatorState { Frequency = 3E-44, Amplitude = 1.4E-44, Offset = 90.00016, PhaseShift = 1.4E-44, Phase = 42293.64 }
00:00:04.7506662 [Info] OscillatorState { Frequency = 3E-44, Amplitude = 1.4E-44, Offset = 90.00016, PhaseShift = 1.4E-44, Phase = 42293.64 }
00:00:04.8705429 [Info] OscillatorState { Frequency = 3E-44, Amplitude = 1.4E-44, Offset = 90.00016, PhaseShift = 1.4E-44, Phase = 42293.64 }
00:00:04.9907140 [Info] OscillatorState { Frequency = 3E-44, Amplitude = 1.4E-44, Offset = 90.00016, PhaseShift = 1.4E-44, Phase = 42293.64 }
00:00:05.1109157 [Info] OscillatorState { Frequency = 3E-44, Amplitude = 1.4E-44, Offset = 90.00016, PhaseShift = 1.4E-44, Phase = 42293.64 }
00:00:05.2310244 [Info] OscillatorState { Frequency = 3E-44, Amplitude = 1.4E-44, Offset = 90.00016, PhaseShift = 1.4E-44, Phase = 42293.64 }
00:00:05.3510247 [Info] OscillatorState { Frequency = 3E-44, Amplitude = 1.4E-44, Offset = 90.00016, PhaseShift = 1.4E-44, Phase = 42293.64 }
00:00:05.4715450 [Info] OscillatorState { Frequency = 3E-44, Amplitude = 1.4E-44, Offset = 90.00016, PhaseShift = 1.4E-44, Phase = 42293.64 }
00:00:05.5919185 [Info] OscillatorState { Frequency = 3E-44, Amplitude = 1.4E-44, Offset = 90.00016, PhaseShift = 1.4E-44, Phase = 42293.64 }
00:00:05.7116111 [Info] OscillatorState { Frequency = 3E-44, Amplitude = 1.4E-44, Offset = 90.00016, PhaseShift = 1.4E-44, Phase = 42293.64 }
00:00:05.8318229 [Info] OscillatorState { Frequency = 3E-44, Amplitude = 1.4E-44, Offset = 90.00016, PhaseShift = 1.4E-44, Phase = 42293.64 }
00:00:05.9519844 [Info] OscillatorState { Frequency = 3E-44, Amplitude = 1.4E-44, Offset = 90.00016, PhaseShift = 1.4E-44, Phase = 42293.64 }
00:00:06.0718068 [Info] OscillatorState { Frequency = 3E-44, Amplitude = 1.4E-44, Offset = 90.00016, PhaseShift = 1.4E-44, Phase = 42293.64 }
00:00:06.1919362 [Info] OscillatorState { Frequency = 3E-44, Amplitude = 1.4E-44, Offset = 90.00016, PhaseShift = 1.4E-44, Phase = 42293.64 }
00:00:06.3119856 [Info] OscillatorState { Frequency = 3E-44, Amplitude = 1.4E-44, Offset = 90.00016, PhaseShift = 1.4E-44, Phase = 42293.64 }
00:00:06.4314763 [Info] OscillatorState { Frequency = 3E-44, Amplitude = 1.4E-44, Offset = 90.00016, PhaseShift = 1.4E-44, Phase = 42293.64 }
00:00:06.5522337 [Info] OscillatorState { Frequency = 3E-44, Amplitude = 1.4E-44, Offset = 90.00016, PhaseShift = 1.4E-44, Phase = 42293.64 }
00:00:06.6734907 [Info] OscillatorState { Frequency = 3E-44, Amplitude = 1.4E-44, Offset = 90.00016, PhaseShift = 1.4E-44, Phase = 42293.64 }
00:00:06.7923343 [Info] OscillatorState { Frequency = 3E-44, Amplitude = 1.4E-44, Offset = 90.00016, PhaseShift = 1.4E-44, Phase = 42293.64 }
00:00:06.9120951 [Info] OscillatorState { Frequency = 3E-44, Amplitude = 1.4E-44, Offset = 90.00016, PhaseShift = 1.4E-44, Phase = 42293.64 }
00:00:07.0330860 [Info] OscillatorState { Frequency = 3E-44, Amplitude = 1.4E-44, Offset = 90.00016, PhaseShift = 1.4E-44, Phase = 42293.64 }
00:00:07.1532403 [Info] OscillatorState { Frequency = 3E-44, Amplitude = 1.4E-44, Offset = 90.00016, PhaseShift = 1.4E-44, Phase = 42293.64 }
00:00:07.2725494 [Info] OscillatorState { Frequency = 3E-44, Amplitude = 1.4E-44, Offset = 90.00016, PhaseShift = 1.4E-44, Phase = 42293.64 }
00:00:07.3920751 [Info] OscillatorState { Frequency = 3E-44, Amplitude = 1.4E-44, Offset = 90.00016, PhaseShift = 1.4E-44, Phase = 42293.64 }
00:00:07.5125492 [Info] OscillatorState { Frequency = 3E-44, Amplitude = 1.4E-44, Offset = 90.00016, PhaseShift = 1.4E-44, Phase = 42293.64 }
00:00:07.6322980 [Info] OscillatorState { Frequency = 3E-44, Amplitude = 1.4E-44, Offset = 90.00016, PhaseShift = 1.4E-44, Phase = 42293.64 }
00:00:07.7537868 [Info] OscillatorState { Frequency = 3E-44, Amplitude = 1.4E-44, Offset = 90.00016, PhaseShift = 1.4E-44, Phase = 42293.64 }
00:00:07.8809766 [Info] OscillatorState { Frequency = 3E-44, Amplitude = 1.4E-44, Offset = 90.00016, PhaseShift = 1.4E-44, Phase = 42293.64 }
00:00:08.0025364 [Info] OscillatorState { Frequency = 3E-44, Amplitude = 1.4E-44, Offset = 90.00016, PhaseShift = 1.4E-44, Phase = 42293.64 }
00:00:08.1225698 [Info] OscillatorState { Frequency = 3E-44, Amplitude = 1.4E-44, Offset = 90.00016, PhaseShift = 1.4E-44, Phase = 42293.64 }
00:00:08.2432742 [Info] OscillatorState { Frequency = 3E-44, Amplitude = 1.4E-44, Offset = 90.00016, PhaseShift = 1.4E-44, Phase = 42293.64 }
00:00:08.3631752 [Info] OscillatorState { Frequency = 3E-44, Amplitude = 1.4E-44, Offset = 90.00016, PhaseShift = 1.4E-44, Phase = 42293.64 }
00:00:08.4837080 [Info] OscillatorState { Frequency = 3E-44, Amplitude = 1.4E-44, Offset = 90.00016, PhaseShift = 1.4E-44, Phase = 42293.64 }
00:00:08.6035734 [Info] OscillatorState { Frequency = 3E-44, Amplitude = 1.4E-44, Offset = 90.00016, PhaseShift = 1.4E-44, Phase = 42293.64 }
00:00:08.7230069 [Info] OscillatorState { Frequency = 3E-44, Amplitude = 1.4E-44, Offset = 90.00016, PhaseShift = 1.4E-44, Phase = 42293.64 }
00:00:08.8436454 [Info] OscillatorState { Frequency = 3E-44, Amplitude = 1.4E-44, Offset = 90.00016, PhaseShift = 1.4E-44, Phase = 42293.64 }
00:00:08.9639701 [Info] OscillatorState { Frequency = 3E-44, Amplitude = 1.4E-44, Offset = 90.00016, PhaseShift = 1.4E-44, Phase = 42293.64 }
00:00:09.0835600 [Info] OscillatorState { Frequency = 3E-44, Amplitude = 1.4E-44, Offset = 90.00016, PhaseShift = 1.4E-44, Phase = 42293.64 }
00:00:09.2039290 [Info] OscillatorState { Frequency = 3E-44, Amplitude = 1.4E-44, Offset = 90.00016, PhaseShift = 1.4E-44, Phase = 42293.64 }
00:00:09.3240684 [Info] OscillatorState { Frequency = 3E-44, Amplitude = 1.4E-44, Offset = 90.00016, PhaseShift = 1.4E-44, Phase = 42293.64 }
00:00:09.4446529 [Info] OscillatorState { Frequency = 3E-44, Amplitude = 1.4E-44, Offset = 90.00016, PhaseShift = 1.4E-44, Phase = 42293.64 }
00:00:09.5655034 [Info] OscillatorState { Frequency = 3E-44, Amplitude = 1.4E-44, Offset = 90.00016, PhaseShift = 1.4E-44, Phase = 42293.64 }
00:00:09.6856971 [Info] OscillatorState { Frequency = 3E-44, Amplitude = 1.4E-44, Offset = 90.00016, PhaseShift = 1.4E-44, Phase = 42293.64 }
00:00:09.8044003 [Info] OscillatorState { Frequency = 3E-44, Amplitude = 1.4E-44, Offset = 90.00016, PhaseShift = 1.4E-44, Phase = 42293.64 }
00:00:09.9236718 [Info] OscillatorState { Frequency = 3E-44, Amplitude = 1.4E-44, Offset = 90.00016, PhaseShift = 1.4E-44, Phase = 42293.64 }
00:00:10.0444711 [Info] OscillatorState { Frequency = 3E-44, Amplitude = 1.4E-44, Offset = 90.00016, PhaseShift = 1.4E-44, Phase = 42293.64 }
00:00:10.1643714 [Info] OscillatorState { Frequency = 3E-44, Amplitude = 1.4E-44, Offset = 90.00016, PhaseShift = 1.4E-44, Phase = 42293.64 }
00:00:10.2842912 [Info] OscillatorState { Frequency = 3E-44, Amplitude = 1.4E-44, Offset = 90.00016, PhaseShift = 1.4E-44, Phase = 42293.64 }
00:00:10.4053016 [Info] OscillatorState { Frequency = 3E-44, Amplitude = 1.4E-44, Offset = 90.00016, PhaseShift = 1.4E-44, Phase = 42293.64 }
00:00:10.5249587 [Info] OscillatorState { Frequency = 3E-44, Amplitude = 1.4E-44, Offset = 90.00016, PhaseShift = 1.4E-44, Phase = 42293.64 }
00:00:10.6447510 [Info] OscillatorState { Frequency = 3E-44, Amplitude = 1.4E-44, Offset = 90.00016, PhaseShift = 1.4E-44, Phase = 42293.64 }
00:00:10.7654897 [Info] OscillatorState { Frequency = 3E-44, Amplitude = 1.4E-44, Offset = 90.00016, PhaseShift = 1.4E-44, Phase = 42293.64 }
00:00:10.8843827 [Info] OscillatorState { Frequency = 3E-44, Amplitude = 1.4E-44, Offset = 90.00016, PhaseShift = 1.4E-44, Phase = 42293.64 }
00:00:11.0061415 [Info] OscillatorState { Frequency = 3E-44, Amplitude = 1.4E-44, Offset = 90.00016, PhaseShift = 1.4E-44, Phase = 42293.64 }
00:00:11.1284273 [Info] OscillatorState { Frequency = 3E-44, Amplitude = 1.4E-44, Offset = 90.00016, PhaseShift = 1.4E-44, Phase = 42293.64 }
00:00:11.2536352 [Info] OscillatorState { Frequency = 3E-44, Amplitude = 1.4E-44, Offset = 90.00016, PhaseShift = 1.4E-44, Phase = 42293.64 }
00:00:11.3751276 [Info] OscillatorState { Frequency = 3E-44, Amplitude = 1.4E-44, Offset = 90.00016, PhaseShift = 1.4E-44, Phase = 42293.64 }
00:00:11.4957442 [Info] OscillatorState { Frequency = 3E-44, Amplitude = 1.4E-44, Offset = 90.00016, PhaseShift = 1.4E-44, Phase = 42293.64 }
00:00:11.6150036 [Info] OscillatorState { Frequency = 3E-44, Amplitude = 1.4E-44, Offset = 90.00016, PhaseShift = 1.4E-44, Phase = 42293.64 }
00:00:11.7356036 [Info] OscillatorState { Frequency = 3E-44, Amplitude = 1.4E-44, Offset = 90.00016, PhaseShift = 1.4E-44, Phase = 42293.64 }
00:00:11.8549107 [Info] OscillatorState { Frequency = 3E-44, Amplitude = 1.4E-44, Offset = 90.00016, PhaseShift = 1.4E-44, Phase = 42293.64 }
00:00:11.9752273 [Info] OscillatorState { Frequency = 3E-44, Amplitude = 1.4E-44, Offset = 90.00016, PhaseShift = 1.4E-44, Phase = 42293.64 }
00:00:12.0958541 [Info] OscillatorState { Frequency = 3E-44, Amplitude = 1.4E-44, Offset = 90.00016, PhaseShift = 1.4E-44, Phase = 42293.64 }
00:00:12.2159382 [Info] OscillatorState { Frequency = 3E-44, Amplitude = 1.4E-44, Offset = 90.00016, PhaseShift = 1.4E-44, Phase = 42293.64 }
00:00:12.3360812 [Info] OscillatorState { Frequency = 3E-44, Amplitude = 1.4E-44, Offset = 90.00016, PhaseShift = 1.4E-44, Phase = 42293.64 }
00:00:12.4566519 [Info] OscillatorState { Frequency = 3E-44, Amplitude = 1.4E-44, Offset = 90.00016, PhaseShift = 1.4E-44, Phase = 42293.64 }
00:00:12.5760288 [Info] OscillatorState { Frequency = 3E-44, Amplitude = 1.4E-44, Offset = 90.00016, PhaseShift = 1.4E-44, Phase = 42293.64 }
00:00:12.6961577 [Info] OscillatorState { Frequency = 3E-44, Amplitude = 1.4E-44, Offset = 90.00016, PhaseShift = 1.4E-44, Phase = 42293.64 }
00:00:12.8168501 [Info] OscillatorState { Frequency = 3E-44, Amplitude = 1.4E-44, Offset = 90.00016, PhaseShift = 1.4E-44, Phase = 42293.64 }
00:00:12.9362392 [Info] OscillatorState { Frequency = 3E-44, Amplitude = 1.4E-44, Offset = 90.00016, PhaseShift = 1.4E-44, Phase = 42293.64 }
00:00:13.0570506 [Info] OscillatorState { Frequency = 3E-44, Amplitude = 1.4E-44, Offset = 90.00016, PhaseShift = 1.4E-44, Phase = 42293.64 }
00:00:13.1767461 [Info] OscillatorState { Frequency = 3E-44, Amplitude = 1.4E-44, Offset = 90.00016, PhaseShift = 1.4E-44, Phase = 42293.64 }
00:00:13.2973163 [Info] OscillatorState { Frequency = 3E-44, Amplitude = 1.4E-44, Offset = 90.00016, PhaseShift = 1.4E-44, Phase = 42293.64 }
00:00:13.4165686 [Info] OscillatorState { Frequency = 3E-44, Amplitude = 1.4E-44, Offset = 90.00016, PhaseShift = 1.4E-44, Phase = 42293.64 }
00:00:13.5363252 [Info] OscillatorState { Frequency = 3E-44, Amplitude = 1.4E-44, Offset = 90.00016, PhaseShift = 1.4E-44, Phase = 42293.64 }
00:00:13.6566395 [Info] OscillatorState { Frequency = 3E-44, Amplitude = 1.4E-44, Offset = 90.00016, PhaseShift = 1.4E-44, Phase = 42293.64 }
