session_id,user_id,freq_changes,freq_share,initiations,reactions,lead_fraction,leader_role,action_diversity,repetition_ratio,repetitive_sequences,backtrack_ratio,backtrack_count,pause_ratio,long_pause_count,avg_pause,oscillation_ratio,oscillation_count,tuning_ratio,small_adjustment_count,value_entropy,total_param_changes,num_params_used,dominant_param_share,straight_coord_score,diagonal_coord_score,coord_style,coord_partners,learning_strategy,strategy_analysis,strategy_analysis_string,strategy_tree_pred,strategy_tree_confidence
session_1,0,26,0.104,26,757,0.033205619412515965,non-leader,0.6036266173676723,1.0,15,0.020434227330779056,16,0.01278772378516624,10,0.3943265424552429,0.04853128991060025,38,0.3793103448275862,297,0.8691372293158377,783,4,0.6973180076628352,0.4579249828702783,0.43898702235039655,uncoordinated,"[2, 3]",Random_Unstructured_A,"['Leadership: non-leader', 'Learning Strategy: Random_Unstructured', 'Action Diversity: 0.60', 'Repetition Pattern: 1.00', 'Dominant parameter: amplitude', 'Coordinated with players [2, 3]']","Leadership: non-leader; Learning Strategy: Random_Unstructured; Action Diversity: 0.60; Repetition Pattern: 1.00; Dominant parameter: amplitude; Coordinated with players [2, 3]",Random_Unstructured_A,1.0
session_1,1,98,0.392,26,827,0.03048065650644783,non-leader,0.6947358767647703,0.9941383352872216,22,0.009378663540445486,8,0.017605633802816902,15,0.45917817535211275,0.038686987104337635,33,0.4771395076201641,407,0.8222227600842559,853,4,0.6248534583821805,0.4579249828702783,0.43898702235039655,uncoordinated,[],Random_Unstructured_B,"['Leadership: non-leader', 'Learning Strategy: Random_Unstructured', 'Action Diversity: 0.69', 'Repetition Pattern: 0.99', 'Dominant parameter: amplitude', 'Uncoordinated with other players (pairwise)']",Leadership: non-leader; Learning Strategy: Random_Unstructured; Action Diversity: 0.69; Repetition Pattern: 0.99; Dominant parameter: amplitude; Uncoordinated with other players (pairwise),Random_Unstructured_B,1.0
session_1,2,110,0.44,23,1086,0.020739404869251576,leader,0.8995687858020357,1.0,21,0.015329125338142471,17,0.007220216606498195,8,0.3514601742779784,0.03606853020739405,40,0.4977457168620379,552,0.8521029809405989,1109,4,0.44905320108205593,0.4579249828702783,0.43898702235039655,uncoordinated,[0],Random_Unstructured_B,"['Leadership: leader', 'Learning Strategy: Random_Unstructured', 'Action Diversity: 0.90', 'Repetition Pattern: 1.00', 'Dominant parameter: amplitude', 'Coordinated with players [0]']",Leadership: leader; Learning Strategy: Random_Unstructured; Action Diversity: 0.90; Repetition Pattern: 1.00; Dominant parameter: amplitude; Coordinated with players [0],Random_Unstructured_B,1.0
session_1,3,16,0.064,25,1024,0.023832221163012392,non-leader,0.6426740697457903,1.0,18,0.009532888465204958,10,0.009541984732824428,10,0.33961432309160305,0.02478551000953289,26,0.2650142993326978,278,0.9395231589019999,1049,4,0.4918970448045758,0.4579249828702783,0.43898702235039655,uncoordinated,[0],Random_Unstructured_A,"['Leadership: non-leader', 'Learning Strategy: Random_Unstructured', 'Action Diversity: 0.64', 'Repetition Pattern: 1.00', 'Dominant parameter: amplitude', 'Coordinated with players [0]']",Leadership: non-leader; Learning Strategy: Random_Unstructured; Action Diversity: 0.64; Repetition Pattern: 1.00; Dominant parameter: amplitude; Coordinated with players [0],Random_Unstructured_A,1.0
