session_id,user_id,segment_id,seg_start,seg_end,seg_trend,segment_duration,segment_index_norm,num_actions,num_action_types,action_entropy,dominant_action_share,mean_step_size,var_step_size,zigzag_ratio,undo_ratio,action_rate,mean_pause,config_dist_prev,config_dist_prev2,mean_speed,delta_speed_prev,delta_speed_prev2,has_events,is_dull_speed,num_params_used,dominant_param_share,single_param_cluster_ratio,repeat_run_len,coord_activity_ratio,coord_num_partners,structured_exploration_prob,structured_exploration_pred,random_trial_error_prob,random_trial_error_pred,systematic_parameter_sweep_prob,systematic_parameter_sweep_pred,goal_directed_tuning_prob,goal_directed_tuning_pred,iterative_finetuning_prob,iterative_finetuning_pred,incremental_adjustment_prob,incremental_adjustment_pred,repetition_practice_prob,repetition_practice_pred,backtracking_recovery_prob,backtracking_recovery_pred,inactivity_wait_prob,inactivity_wait_pred,global_strategy_label,global_strategy_max_prob
session_1,0,59,952.85,960.958,decreasing,8.107999999999947,0.7866666666666666,4,2,0.5623351446188083,0.75,10.55,63.53250000000001,0.3333333333333333,0.0,0.4933399111988192,0.0606222666666553,37.3,0.0,-1.0,-2.0,0.0,1,0,1,1.0,1.0,1,0.0,0,0.0,0,0.2,0,0.7,1,0.3,0,0.2,0,0.3,0,0.2,0,0.3,0,0.0,0,systematic_parameter_sweep,0.7
session_1,1,59,952.85,960.958,decreasing,8.107999999999947,0.7866666666666666,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.107999999999947,0.0,30.0,-1.0,-2.0,0.0,0,0,0,0.0,0.0,1,0.0,0,0.2,0,0.0,0,0.3,0,0.5,1,0.6000000000000001,1,0.3,0,0.5,1,0.0,0,0.6,1,iterative_finetuning,0.6000000000000001
session_1,2,59,952.85,960.958,decreasing,8.107999999999947,0.7866666666666666,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.107999999999947,0.0,0.0,-1.0,-2.0,0.0,0,0,0,0.0,0.0,1,0.0,0,0.2,0,0.0,0,0.3,0,0.5,1,0.6000000000000001,1,0.3,0,0.5,1,0.0,0,0.6,1,iterative_finetuning,0.6000000000000001
session_1,3,59,952.85,960.958,decreasing,8.107999999999947,0.7866666666666666,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.107999999999947,0.0,0.0,-1.0,-2.0,0.0,0,0,0,0.0,0.0,1,0.0,0,0.2,0,0.0,0,0.3,0,0.5,1,0.6000000000000001,1,0.3,0,0.5,1,0.0,0,0.6,1,iterative_finetuning,0.6000000000000001
session_1,0,60,960.992,970.001,increasing,9.009000000000016,0.8,41,2,0.5815532996153631,0.7317073170731707,0.3124564642439024,1.3816673966966606,0.125,0.0,4.551004551004544,0.11295207,4.7822022,37.60531156474687,1.0,2.0,0.0,1,0,1,1.0,1.0,1,0.5853658536585366,1,0.0,0,0.2,0,1.0,1,1.0,1,0.6000000000000001,1,1.0,1,0.2,0,0.0,0,0.0,0,systematic_parameter_sweep,1.0
session_1,1,60,960.992,970.001,increasing,9.009000000000016,0.8,1,1,-0.0,1.0,0.0,0.0,0.0,0.0,0.1110001110001108,9.009000000000016,10.0,10.0,1.0,2.0,0.0,1,0,1,1.0,1.0,1,1.0,1,0.0,0,0.0,0,0.5,1,0.8999999999999999,1,0.8,1,0.6,1,0.5,1,0.0,0,0.0,0,goal_directed_tuning,0.8999999999999999
session_1,2,60,960.992,970.001,increasing,9.009000000000016,0.8,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.009000000000016,0.0,0.0,1.0,2.0,0.0,0,0,0,0.0,0.0,1,0.0,0,0.2,0,0.0,0,0.3,0,0.8999999999999999,1,0.6000000000000001,1,0.6,1,0.5,1,0.0,0,0.6,1,goal_directed_tuning,0.8999999999999999
session_1,3,60,960.992,970.001,increasing,9.009000000000016,0.8,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.009000000000016,0.0,0.0,1.0,2.0,0.0,0,0,0,0.0,0.0,1,0.0,0,0.2,0,0.0,0,0.3,0,0.8999999999999999,1,0.6000000000000001,1,0.6,1,0.5,1,0.0,0,0.6,1,goal_directed_tuning,0.8999999999999999
session_1,0,61,970.034,976.474,decreasing,6.440000000000055,0.8133333333333334,1,1,-0.0,1.0,0.0,0.0,0.0,0.0,0.1552795031055887,6.440000000000055,17.2,17.85243562883465,-1.0,-2.0,0.0,1,0,1,1.0,1.0,1,1.0,1,0.0,0,0.0,0,0.5,1,0.5,1,0.8,1,0.3,0,0.5,1,0.0,0,0.0,0,iterative_finetuning,0.8
session_1,1,61,970.034,976.474,decreasing,6.440000000000055,0.8133333333333334,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.440000000000055,0.0,10.0,-1.0,-2.0,0.0,0,0,0,0.0,0.0,1,0.0,0,0.2,0,0.0,0,0.3,0,0.5,1,0.6000000000000001,1,0.3,0,0.5,1,0.0,0,0.6,1,iterative_finetuning,0.6000000000000001
session_1,2,61,970.034,976.474,decreasing,6.440000000000055,0.8133333333333334,30,2,0.1461447460085638,0.9666666666666668,2.0733333333333333,29.545288888888887,0.0344827586206896,0.0,4.658385093167662,0.0273458896551723,29.5,29.5,-1.0,-2.0,0.0,1,0,1,1.0,1.0,1,0.7,1,0.0,0,0.2,0,0.7,1,0.3,0,0.2,0,0.3,0,0.5,1,0.0,0,0.0,0,systematic_parameter_sweep,0.7
