frame,timestamp_sec,speed_px/s,distance_px/s
212,7.0737,0.000,0.000
213,7.1071,0.000,0.000
214,7.1405,0.000,0.000
215,7.1738,0.000,0.000
216,7.2072,0.000,0.000
217,7.2406,0.000,0.000
218,7.2739,0.000,0.000
219,7.3073,0.000,0.000
220,7.3407,0.000,0.000
221,7.3740,0.000,0.000
222,7.4074,0.000,0.000
223,7.4408,0.000,0.000
224,7.4741,0.000,0.000
225,7.5075,0.000,0.000
226,7.5409,0.000,0.000
227,7.5742,0.000,0.000
228,7.6076,0.000,0.000
229,7.6410,0.000,0.000
230,7.6743,0.000,0.000
231,7.7077,0.000,0.000
232,7.7411,0.000,0.000
233,7.7744,0.000,0.000
234,7.8078,0.000,0.000
235,7.8412,0.000,0.000
236,7.8745,0.000,0.000
237,7.9079,0.000,0.000
238,7.9413,0.000,0.000
239,7.9746,7.493,0.250
240,8.0080,0.000,0.000
241,8.0414,0.000,0.000
242,8.0747,0.000,0.000
243,8.1081,0.000,0.000
244,8.1415,0.000,0.000
245,8.1748,0.000,0.000
246,8.2082,0.000,0.000
247,8.2416,0.000,0.000
248,8.2749,0.000,0.000
249,8.3083,0.000,0.000
250,8.3417,0.000,0.000
251,8.3750,0.000,0.000
252,8.4084,0.000,0.000
253,8.4418,0.000,0.000
254,8.4751,0.000,0.000
255,8.5085,0.000,0.000
256,8.5419,0.000,0.000
257,8.5752,0.000,0.000
258,8.6086,0.000,0.000
259,8.6420,0.000,0.000
260,8.6753,0.000,0.000
261,8.7087,0.000,0.000
262,8.7421,0.000,0.000
263,8.7754,0.000,0.000
264,8.8088,0.000,0.000
265,8.8422,0.000,0.000
266,8.8755,0.000,0.000
267,8.9089,0.000,0.000
268,8.9423,0.000,0.000
269,8.9756,0.000,0.000
270,9.0090,0.000,0.000
271,9.0424,0.000,0.000
272,9.0757,0.000,0.000
273,9.1091,0.000,0.000
274,9.1425,0.000,0.000
275,9.1758,0.000,0.000
276,9.2092,0.000,0.000
277,9.2426,0.000,0.000
278,9.2759,0.000,0.000
279,9.3093,0.000,0.000
280,9.3427,0.000,0.000
281,9.3760,0.000,0.000
282,9.4094,0.000,0.000
283,9.4428,0.000,0.000
284,9.4761,0.000,0.000
285,9.5095,0.000,0.000
286,9.5429,0.000,0.000
287,9.5762,0.000,0.000
288,9.6096,7.493,0.250
289,9.6430,0.000,0.000
290,9.6763,7.493,0.250
291,9.7097,0.000,0.000
292,9.7431,0.000,0.000
293,9.7764,0.000,0.000
294,9.8098,0.000,0.000
295,9.8432,0.000,0.000
296,9.8765,0.000,0.000
297,9.9099,0.000,0.000
298,9.9433,0.000,0.000
299,9.9766,0.000,0.000
300,10.0100,0.000,0.000
301,10.0434,0.000,0.000
302,10.0767,0.000,0.000
303,10.1101,0.000,0.000
304,10.1435,0.000,0.000
305,10.1768,0.000,0.000
306,10.2102,0.000,0.000
307,10.2436,7.493,0.250
308,10.2769,0.000,0.000
309,10.3103,0.000,0.000
310,10.3437,0.000,0.000
311,10.3770,0.000,0.000
312,10.4104,0.000,0.000
313,10.4438,0.000,0.000
314,10.4771,0.000,0.000
315,10.5105,0.000,0.000
316,10.5439,0.000,0.000
317,10.5772,0.000,0.000
318,10.6106,0.000,0.000
319,10.6440,0.000,0.000
320,10.6773,0.000,0.000
321,10.7107,0.000,0.000
322,10.7441,0.000,0.000
323,10.7774,0.000,0.000
324,10.8108,0.000,0.000
325,10.8441,0.000,0.000
326,10.8775,0.000,0.000
327,10.9109,0.000,0.000
328,10.9442,0.000,0.000
329,10.9776,0.000,0.000
330,11.0110,7.493,0.250
331,11.0443,0.000,0.000
332,11.0777,0.000,0.000
333,11.1111,0.000,0.000
334,11.1444,0.000,0.000
335,11.1778,0.000,0.000
336,11.2112,0.000,0.000
337,11.2445,0.000,0.000
338,11.2779,0.000,0.000
339,11.3113,0.000,0.000
340,11.3446,0.000,0.000
341,11.3780,0.000,0.000
342,11.4114,0.000,0.000
343,11.4447,0.000,0.000
344,11.4781,0.000,0.000
345,11.5115,0.000,0.000
346,11.5448,7.493,0.250
347,11.5782,0.000,0.000
348,11.6116,0.000,0.000
349,11.6449,0.000,0.000
350,11.6783,0.000,0.000
351,11.7117,0.000,0.000
352,11.7450,0.000,0.000
353,11.7784,0.000,0.000
354,11.8118,0.000,0.000
355,11.8451,0.000,0.000
356,11.8785,0.000,0.000
357,11.9119,0.000,0.000
358,11.9452,0.000,0.000
359,11.9786,0.000,0.000
360,12.0120,0.000,0.000
361,12.0453,0.000,0.000
362,12.0787,0.000,0.000
